Id do jogo recebido -> 2
Recebeu o jogo perfeitamente
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
Estatísticas do cliente escritas com sucesso
